"trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear"
"21742443,2019-01-01 00:04:37,2019-01-01 00:11:07,2167,390.0,199,Wabash Ave & Grand Ave,84,Milwaukee Ave & Grand Ave,Subscriber,Male,1989"
"21742444,2019-01-01 00:08:13,2019-01-01 00:15:34,4386,441.0,44,State St & Randolph St,624,Dearborn St & Van Buren St (*),Subscriber,Female,1990"
"21742445,2019-01-01 00:13:23,2019-01-01 00:27:12,1524,829.0,15,Racine Ave & 18th St,644,Western Ave & Fillmore St (*),Subscriber,Female,1994"
"21742446,2019-01-01 00:13:45,2019-01-01 00:43:28,252,""1,783.0"",123,California Ave & Milwaukee Ave,176,Clark St & Elm St,Subscriber,Male,1993"
"21742447,2019-01-01 00:14:52,2019-01-01 00:20:56,1170,364.0,173,Mies van der Rohe Way & Chicago Ave,35,Streeter Dr & Grand Ave,Subscriber,Male,1994"
"21742448,2019-01-01 00:15:33,2019-01-01 00:19:09,2437,216.0,98,LaSalle St & Washington St,49,Dearborn St & Monroe St,Subscriber,Female,1983"
"21742449,2019-01-01 00:16:06,2019-01-01 00:19:03,2708,177.0,98,LaSalle St & Washington St,49,Dearborn St & Monroe St,Subscriber,Male,1984"
"21742450,2019-01-01 00:18:41,2019-01-01 00:20:21,2796,100.0,211,St. Clair St & Erie St,142,McClurg Ct & Erie St,Subscriber,Male,1990"
"21742451,2019-01-01 00:18:43,2019-01-01 00:47:30,6205,""1,727.0"",150,Fort Dearborn Dr & 31st St,148,State St & 33rd St,Subscriber,Male,1995"
"21742452,2019-01-01 00:19:18,2019-01-01 00:24:54,3939,336.0,268,Lake Shore Dr & North Blvd,141,Clark St & Lincoln Ave,Subscriber,Male,1996"
"21742453,2019-01-01 00:20:34,2019-01-01 00:35:20,6243,886.0,299,Halsted St & Roscoe St,295,Broadway & Argyle St,Subscriber,Male,1994"
"21742454,2019-01-01 00:21:52,2019-01-01 00:32:45,6300,653.0,204,Prairie Ave & Garfield Blvd,420,Ellis Ave & 55th St,Subscriber,Female,1994"
"21742455,2019-01-01 00:23:04,2019-01-01 00:33:05,3029,601.0,90,Millennium Park,255,Indiana Ave & Roosevelt Rd,Subscriber,Male,1986"
"21742456,2019-01-01 00:23:43,2019-01-01 00:33:05,84,562.0,90,Millennium Park,255,Indiana Ave & Roosevelt Rd,Customer,Female,1990"
"21742457,2019-01-01 00:23:54,2019-01-01 00:39:00,5019,906.0,289,Wells St & Concord Ln,324,Stockton Dr & Wrightwood Ave,Subscriber,Female,1989"
"21742458,2019-01-01 00:24:08,2019-01-01 00:39:00,5526,892.0,289,Wells St & Concord Ln,324,Stockton Dr & Wrightwood Ave,Subscriber,Female,1989"
